ru-RU;Вы не знаете, где дом ... 12?;цифра;число;номер;номер
ru-RU;Скажите, ... мы будем обедать?;откуда;куда;когда;когда
ru-RU;Обычно я … на остановку пешком.;иду;еду;пришёл;иду
ru-RU;Москва – столица … .;России;Россия;Россию;России
ru-RU;Скажите, пожалуйста, … стоит билет?;зачем;сколько;почему;сколько
en_EN;This __ a good restaurant;are;is;was;is
en_EN;I __ a new student;are;am;is;am
en_EN;Manny and Max __ here;is not;arent;aren't;aren't
en_EN;This __ your home for a while;will be;werw;is;will be
en_EN;Where __ you last night?;are;was;were;were
